,abv,ibu,style
1613,0.042,35.0,American Pale Ale (APA)
1614,0.062,65.0,American IPA
1616,0.048,35.0,American Pale Ale (APA)
1617,0.055,25.0,American Brown Ale
1620,0.05,61.0,American Pale Wheat Ale
1623,0.065,77.0,American IPA
1624,0.062,62.0,American IPA
1627,0.055,10.0,American Brown Ale
1628,0.048,15.0,American Blonde Ale
1630,0.065,65.0,American IPA
1631,0.05,40.0,American Pale Ale (APA)
1632,0.05,35.0,American IPA
1640,0.041,12.0,American Pale Lager
1641,0.059,25.0,American Amber / Red Ale
1643,0.067,74.0,American IPA
1644,0.061,60.0,American IPA
1647,0.07,75.0,American IPA
1652,0.06,24.0,Fruit / Vegetable Beer
1653,0.045,18.0,American Blonde Ale
1654,0.055,25.0,American Porter
1656,0.055,20.0,American Amber / Red Ale
1657,0.07,70.0,American IPA
1659,0.069,51.0,American IPA
1660,0.057,31.0,American Pale Ale (APA)
1665,0.054000000000000006,45.0,American Pale Ale (APA)
1669,0.059,14.0,American Pale Wheat Ale
1672,0.058,21.0,Czech Pilsener
1673,0.057,68.0,American Pale Ale (APA)
1674,0.058,21.0,Czech Pilsener
1675,0.059,14.0,American Pale Wheat Ale
1676,0.052000000000000005,18.0,Hefeweizen
1677,0.052000000000000005,18.0,Hefeweizen
1679,0.055,30.0,American Porter
1681,0.058,60.0,American Pale Ale (APA)
1683,0.046,25.0,Witbier
1684,0.099,85.0,American Black Ale
1685,0.051,21.0,American Blonde Ale
1687,0.053,52.0,German Pilsener
1688,0.06,50.0,American Blonde Ale
1689,0.051,21.0,American Blonde Ale
1690,0.07200000000000001,55.0,American Brown Ale
1691,0.062,55.0,American IPA
1693,0.051,17.0,American Blonde Ale
1694,0.055,45.0,American IPA
1696,0.047,25.0,American Porter
1699,0.065,44.0,American IPA
1700,0.065,44.0,American IPA
1701,0.058,27.0,American Amber / Red Ale
1705,0.05,16.0,Witbier
1706,0.05,40.0,American Pale Ale (APA)
1708,0.07,100.0,American IPA
1709,0.099,100.0,American Double / Imperial IPA
1710,0.05,25.0,American Blonde Ale
1711,0.07,100.0,American IPA
1720,0.055,40.0,American Pale Ale (APA)
1724,0.057,25.0,Märzen / Oktoberfest
1725,0.068,28.0,American Porter
1726,0.065,70.0,American IPA
1727,0.05,14.0,Witbier
1728,0.057,42.0,American Amber / Red Ale
1729,0.055,42.0,American Pale Ale (APA)
1730,0.06,60.0,American Amber / Red Ale
1731,0.058,35.0,American Porter
1732,0.052000000000000005,21.0,Märzen / Oktoberfest
1733,0.043,45.0,American Pale Ale (APA)
1734,0.07200000000000001,75.0,American IPA
1735,0.048,25.0,American Blonde Ale
1741,0.05,55.0,American IPA
1742,0.055,60.0,American Pale Ale (APA)
1743,0.05,100.0,American IPA
1768,0.07,80.0,American IPA
1770,0.071,36.0,Saison / Farmhouse Ale
1776,0.045,28.0,Kölsch
1777,0.056,35.0,American Amber / Red Ale
1778,0.073,55.0,American Black Ale
1779,0.048,42.0,American Amber / Red Lager
1780,0.073,55.0,American Black Ale
1781,0.056,35.0,American Amber / Red Ale
1782,0.05,15.0,Witbier
1783,0.068,66.0,American IPA
1784,0.052000000000000005,40.0,American Pale Ale (APA)
1785,0.048,22.0,Kölsch
1786,0.069,20.0,American Porter
1788,0.091,99.0,American Double / Imperial IPA
1790,0.05,15.0,American Blonde Ale
1793,0.055,20.0,American Amber / Red Ale
1794,0.05,15.0,Hefeweizen
1795,0.07,85.0,American IPA
1796,0.069,20.0,American Porter
1797,0.055,45.0,American Pale Ale (APA)
1799,0.05,20.0,Fruit / Vegetable Beer
1800,0.055,45.0,American Pale Ale (APA)
1801,0.07,85.0,American IPA
1802,0.05,15.0,Hefeweizen
1803,0.055,45.0,American Pale Ale (APA)
1804,0.055,20.0,American Amber / Red Ale
1805,0.058,20.0,Saison / Farmhouse Ale
1806,0.068,65.0,American Black Ale
1807,0.08900000000000001,88.0,American Double / Imperial IPA
1810,0.055,30.0,Saison / Farmhouse Ale
1811,0.071,95.0,American Black Ale
1817,0.05,11.0,American Blonde Ale
1821,0.05,45.0,American Pale Wheat Ale
1823,0.045,30.0,American IPA
1824,0.05,30.0,American Brown Ale
1825,0.041,16.0,Hefeweizen
1828,0.07400000000000001,60.0,American IPA
1831,0.07,105.0,American IPA
1832,0.07,55.0,American Porter
1835,0.077,40.0,American Amber / Red Ale
1836,0.06,53.0,American Pale Ale (APA)
1837,0.07,68.0,American IPA
1840,0.069,65.0,American IPA
1845,0.07200000000000001,65.0,American IPA
1848,0.056,37.0,American Pale Ale (APA)
1849,0.048,26.0,American Pale Wheat Ale
1850,0.05,28.0,Czech Pilsener
1851,0.07200000000000001,65.0,American IPA
1852,0.056,37.0,American Pale Ale (APA)
1860,0.032,7.0,Fruit / Vegetable Beer
1861,0.065,62.0,American IPA
1862,0.047,50.0,American Pale Ale (APA)
1863,0.099,111.0,American Double / Imperial IPA
1865,0.067,74.0,American IPA
1866,0.054000000000000006,42.0,German Pilsener
1867,0.052000000000000005,34.0,Cream Ale
1869,0.064,62.0,American IPA
1871,0.059,47.0,American Brown Ale
1872,0.052000000000000005,11.0,American Pale Wheat Ale
1873,0.049,35.0,Saison / Farmhouse Ale
1874,0.091,103.0,American Double / Imperial IPA
1875,0.063,69.0,American Stout
1877,0.054000000000000006,42.0,German Pilsener
1878,0.052000000000000005,34.0,Cream Ale
1880,0.064,62.0,American IPA
1883,0.068,65.0,American IPA
1884,0.058,15.0,American Stout
1888,0.042,18.0,American Pale Lager
1892,0.068,65.0,American IPA
1893,0.058,39.0,American Amber / Red Ale
1894,0.071,92.0,American IPA
1898,0.06,70.0,American IPA
1904,0.084,90.0,American Double / Imperial IPA
1905,0.058,25.0,Märzen / Oktoberfest
1906,0.07,113.0,American IPA
1908,0.056,11.0,Hefeweizen
1909,0.049,44.0,German Pilsener
1910,0.051,40.0,American Pale Ale (APA)
1911,0.07,88.0,American IPA
1912,0.058,35.0,American Amber / Red Ale
1913,0.062,33.0,Saison / Farmhouse Ale
1915,0.06,55.0,American Pale Ale (APA)
1919,0.052000000000000005,32.0,American Pale Ale (APA)
1920,0.068,60.0,American IPA
1923,0.063,100.0,American IPA
1924,0.063,100.0,American IPA
1933,0.052000000000000005,32.0,American Pale Ale (APA)
1934,0.046,12.0,American Pale Wheat Ale
1937,0.063,100.0,American IPA
1939,0.055,40.0,American IPA
1941,0.05,22.0,Kölsch
1943,0.048,32.0,Czech Pilsener
1944,0.055,65.0,American IPA
1945,0.075,72.0,American IPA
1946,0.077,65.0,American IPA
1948,0.058,60.0,American Pale Ale (APA)
1949,0.05,20.0,American Blonde Ale
1950,0.08,80.0,American Amber / Red Ale
1952,0.05,20.0,American Blonde Ale
1953,0.058,60.0,American Pale Ale (APA)
1954,0.065,45.0,American Pale Ale (APA)
1957,0.085,110.0,American Double / Imperial IPA
1958,0.092,100.0,American Double / Imperial IPA
1959,0.085,110.0,American Double / Imperial IPA
1961,0.05,20.0,American Blonde Ale
1962,0.099,100.0,American Double / Imperial IPA
1966,0.065,45.0,American Pale Ale (APA)
1967,0.05,20.0,American Blonde Ale
1968,0.047,35.0,American IPA
1986,0.042,20.0,German Pilsener
1987,0.065,52.0,American IPA
1988,0.048,12.0,Märzen / Oktoberfest
1989,0.065,52.0,American IPA
1990,0.065,65.0,American Pale Ale (APA)
1991,0.049,17.0,Kölsch
1992,0.057,25.0,American Amber / Red Lager
1993,0.065,65.0,American IPA
1996,0.054000000000000006,33.0,American Pale Ale (APA)
1998,0.052000000000000005,9.0,American Black Ale
1999,0.063,64.0,American IPA
2004,0.057,15.0,Märzen / Oktoberfest
2005,0.052000000000000005,7.0,American Pale Wheat Ale
2006,0.05,7.0,American Pale Wheat Ale
2007,0.05,7.0,American Pale Wheat Ale
2009,0.049,13.0,Kölsch
2010,0.057,15.0,Märzen / Oktoberfest
2011,0.054000000000000006,32.0,American Brown Ale
2012,0.05,7.0,American Pale Wheat Ale
2013,0.054000000000000006,33.0,American Pale Ale (APA)
2014,0.047,14.0,American Amber / Red Lager
2016,0.051,31.0,American Amber / Red Ale
2021,0.051,25.0,Kölsch
2023,0.07200000000000001,70.0,American IPA
2026,0.041,8.0,American Amber / Red Lager
2028,0.053,49.0,American Pale Ale (APA)
2030,0.047,55.0,American Pale Ale (APA)
2031,0.083,100.0,American Double / Imperial IPA
2034,0.054000000000000006,23.0,American Porter
2040,0.064,75.0,American IPA
2041,0.063,75.0,American IPA
2042,0.064,75.0,American IPA
2043,0.064,75.0,American IPA
2047,0.075,77.0,American IPA
2048,0.056,50.0,American Pale Ale (APA)
2058,0.055,23.0,Märzen / Oktoberfest
2062,0.091,91.0,American Double / Imperial IPA
2064,0.075,77.0,American IPA
2065,0.055,23.0,Märzen / Oktoberfest
2068,0.053,20.0,Cream Ale
2069,0.056,50.0,American Pale Ale (APA)
2074,0.099,85.0,American Black Ale
2075,0.073,69.0,American IPA
2076,0.075,90.0,American IPA
2079,0.051,45.0,American Brown Ale
2080,0.051,45.0,American Brown Ale
2081,0.097,120.0,American Double / Imperial IPA
2083,0.067,33.0,Saison / Farmhouse Ale
2084,0.062,99.0,American IPA
2085,0.073,50.0,American IPA
2086,0.05,10.0,Witbier
2087,0.056,35.0,American Pale Ale (APA)
2089,0.059,18.0,Cream Ale
2091,0.055,35.0,German Pilsener
2095,0.08,95.0,American Double / Imperial IPA
2097,0.05,44.0,American IPA
2098,0.05,44.0,American IPA
2099,0.049,28.0,Hefeweizen
2100,0.05,19.0,American Blonde Ale
2101,0.05,19.0,American Blonde Ale
2102,0.049,28.0,Hefeweizen
2104,0.048,20.0,Saison / Farmhouse Ale
2105,0.062,35.0,American Porter
2106,0.056,20.0,Saison / Farmhouse Ale
2108,0.068,110.0,American IPA
2109,0.044,12.0,American Brown Ale
2112,0.05,20.0,American Pale Wheat Ale
2115,0.05,20.0,American Pale Wheat Ale
2116,0.05,16.0,German Pilsener
2117,0.07200000000000001,93.0,American Double / Imperial IPA
2118,0.044,22.0,American Brown Ale
2120,0.063,60.0,American IPA
2124,0.07,80.0,American IPA
2125,0.065,35.0,American Porter
2135,0.047,42.0,American Pale Ale (APA)
2136,0.055,35.0,Saison / Farmhouse Ale
2137,0.063,23.0,American Brown Ale
2144,0.08,120.0,American Double / Imperial IPA
2145,0.08,120.0,American Double / Imperial IPA
2146,0.046,20.0,American Amber / Red Ale
2147,0.07,75.0,American IPA
2149,0.059,15.0,American Pale Wheat Ale
2153,0.052000000000000005,16.0,American Pale Ale (APA)
2154,0.057,46.0,American Black Ale
2155,0.063,50.0,American Pale Ale (APA)
2156,0.052000000000000005,35.0,American Pale Ale (APA)
2160,0.099,101.0,American Double / Imperial IPA
2161,0.046,45.0,American IPA
2169,0.048,18.0,American Pale Wheat Ale
2173,0.051,11.0,Fruit / Vegetable Beer
2174,0.04,18.0,American Blonde Ale
2175,0.062,40.0,American Porter
2176,0.062,82.0,American IPA
2178,0.06,50.0,American IPA
2179,0.055,64.0,American Pale Wheat Ale
2181,0.054000000000000006,37.0,American Pale Ale (APA)
2187,0.058,20.0,American Porter
2188,0.052000000000000005,12.0,Fruit / Vegetable Beer
2191,0.085,115.0,American Double / Imperial IPA
2192,0.058,36.0,American IPA
2194,0.052000000000000005,50.0,American Porter
2195,0.045,35.0,Czech Pilsener
2197,0.07,60.0,American IPA
2198,0.07,35.0,American Porter
2199,0.05,21.0,Fruit / Vegetable Beer
2200,0.045,18.0,American Blonde Ale
2201,0.055,37.0,American Pale Ale (APA)
2202,0.045,28.0,American Amber / Red Ale
2203,0.073,87.0,American IPA
2207,0.062,72.0,American IPA
2209,0.06,30.0,American Amber / Red Ale
2214,0.075,93.0,American Amber / Red Ale
2217,0.075,85.0,American IPA
2218,0.055,52.0,American Pale Ale (APA)
2219,0.062,65.0,American IPA
2220,0.054000000000000006,26.0,American Amber / Red Lager
2221,0.075,63.0,American IPA
2223,0.041,41.0,American IPA
2224,0.048,48.0,American IPA
2225,0.052000000000000005,27.0,American Amber / Red Ale
2226,0.062,70.0,American IPA
2228,0.062,70.0,American IPA
2229,0.057,36.0,American Pale Ale (APA)
2230,0.054000000000000006,20.0,American Brown Ale
2231,0.052000000000000005,27.0,American Amber / Red Ale
2232,0.062,70.0,American IPA
2233,0.048,48.0,American IPA
2235,0.063,69.0,American IPA
2239,0.051,36.0,American Pale Ale (APA)
2240,0.077,23.0,Märzen / Oktoberfest
2252,0.04,22.0,American Amber / Red Lager
2253,0.04,42.0,American IPA
2254,0.073,83.0,American IPA
2255,0.04,17.0,American Blonde Ale
2257,0.073,82.0,American IPA
2258,0.04,34.0,American Pale Ale (APA)
2259,0.04,29.0,American Pale Ale (APA)
2261,0.06,75.0,American IPA
2271,0.085,90.0,American Double / Imperial IPA
2275,0.045,50.0,American IPA
2276,0.045,15.0,Witbier
2286,0.099,90.0,American Double / Imperial IPA
2296,0.053,22.0,American Brown Ale
2297,0.065,70.0,American IPA
2299,0.09,75.0,American Double / Imperial IPA
2304,0.09,75.0,American Double / Imperial IPA
2313,0.079,23.0,Witbier
2314,0.075,31.0,American Brown Ale
2316,0.073,85.0,American IPA
2318,0.04,37.0,American IPA
2319,0.06,55.0,American IPA
2320,0.056,50.0,American IPA
2322,0.085,85.0,American Double / Imperial IPA
2325,0.04,37.0,American IPA
2327,0.045,10.0,Fruit / Vegetable Beer
2328,0.06,55.0,American IPA
2330,0.052000000000000005,67.0,American IPA
2331,0.054000000000000006,20.0,Cream Ale
2340,0.05,16.0,Witbier
2341,0.068,65.0,American IPA
2342,0.057,22.0,Märzen / Oktoberfest
2344,0.058,55.0,American IPA
2348,0.075,89.0,American IPA
2358,0.049,30.0,Hefeweizen
2359,0.049,30.0,Hefeweizen
2360,0.08199999999999999,100.0,American Double / Imperial IPA
2363,0.052000000000000005,27.0,American Blonde Ale
2364,0.08199999999999999,100.0,American Double / Imperial IPA
2365,0.08199999999999999,100.0,American Double / Imperial IPA
2366,0.042,13.0,Witbier
2369,0.056,41.0,American Pale Ale (APA)
2373,0.051,45.0,American Pale Ale (APA)
2379,0.07400000000000001,83.0,American IPA
2380,0.08,31.0,American Porter
2382,0.071,60.0,American IPA
2384,0.048,38.0,American IPA
2386,0.062,61.0,American IPA
2388,0.058,72.0,American IPA
2390,0.059,135.0,American IPA
2391,0.047,15.0,American Pale Lager
2393,0.065,82.0,American IPA
2395,0.065,69.0,American IPA
2396,0.069,69.0,American IPA
2397,0.045,25.0,Kölsch
2398,0.077,30.0,American Double / Imperial IPA
2399,0.069,69.0,American IPA
2400,0.06,50.0,American Pale Ale (APA)
2408,0.055,40.0,American Pale Ale (APA)
